Bakery/Dessert/Snack,Beverage Alcoholic,Cereal/Crop/Bean,Dairy,Fruit,Meat/Animal Product,Plant/Vegetable,Seafood
marshmallow,apple_brandy,black_walnut,gruyere_cheese,coconut,turkey,jalapeno,oyster
pancake,plum_wine,bean,butter,mango,egg,strawberry,shrimp
cornbread,wine,chickpea,cheddar_cheese,kiwi,meatball,garlic,bluefish
biscuit,vermouth,caper,cream_cheese,guava,beef,broccoli,anchovy
pudding,rum,wheat,evaporated_milk,lime,buffalo,parsley,turbot
fudge,kefir,soybean,swiss_cheese,apple,lamb,radish,crab
white_bread,sparkling_wine,corn,cheese,pear,deer,asparagus,salmon
bread,cherry_brandy,quinoa,yogurt,blueberry,ham,tomato,crayfish
rye_bread,port_wine,tamale,mozzarella_cheese,pineapple,sausage,carrot,conch
popcorn,scotch_whisky,barley,whipping_cream,orange,rabbit,cabbage,grouper
ice_cream,vodka,tortilla,feta_cheese,lemon,mutton,potato,scallop
chocolate,red_wine,flour,milk,melon,squab,spinach,caviar
cake,beer,lentil,goat_cheese,grape,chicken,lettuce,clam
bagel,pear_brandy,oat,ricotta_cheese,peach,pork,basil,prawn
waffle,white_wine,rice,parmesan_cheese,banana,ground_beef,cucumber,lobster
raisin_bread,champagne,millet,mexican_oregano,lingonberry,liver,broccoli,walleye
potato_bread,gin,sweetcorn,swiss_cheese,grapefruit,marrow,dill,kelp
candy_bar,margarine,tostada,condensed_milk,pomegranate,pork_belly,kale,catfish
dulce_de_leche,brandy,molasses,cocoa_butter,papaya,pork_chop,chervil,squid
marzipan,sake,wild_rice,soy_yogurt,raisin,tenderloin,agave,abalone